Date	Time	Open	High	Low	Close	Volume
09/01/2022	20:00:00	3204.13	3211.29	3199.07	3201.48	2670.149
09/01/2022	20:30:00	3201.82	3203.21	3193.22	3195.79	916.2422
09/01/2022	21:00:00	3195.79	3204.55	3194.71	3200.44	1080.8385
09/01/2022	21:30:00	3200.75	3203.11	3184.67	3189.1	1048.9984
09/01/2022	22:00:00	3189.26	3199.95	3182.9	3194.18	1036.8428
09/01/2022	22:30:00	3194.17	3194.17	3173.62	3179.31	799.3305
09/01/2022	23:00:00	3179.41	3185.27	3152.29	3154.49	2140.4791
09/01/2022	23:30:00	3154.49	3159.88	3145.03	3151.69	1696.394
10/01/2022	00:00:00	3152.37	3170.45	3141.49	3164.54	2986.6052
10/01/2022	00:30:00	3164.54	3164.54	3135.7	3137.73	2517.1408
10/01/2022	01:00:00	3137.14	3147.33	3127.78	3146.81	1638.3075
10/01/2022	01:30:00	3146.81	3152.84	3137.77	3151.51	1346.9717
10/01/2022	02:00:00	3151.5	3155.97	3142.01	3154.9	1427.7405
10/01/2022	02:30:00	3154.83	3159.83	3149.23	3154.3	1506.3539
10/01/2022	03:00:00	3154.31	3157.7	3147.93	3156.27	619.734
10/01/2022	03:30:00	3156.22	3156.86	3148.75	3155.48	532.6367
10/01/2022	04:00:00	3154.94	3178.23	3152.07	3174.51	2297.8189
10/01/2022	04:30:00	3174.51	3183.6	3170.0	3175.31	1866.7485
10/01/2022	05:00:00	3175.31	3181.13	3168.9	3178.0	1363.5304
10/01/2022	05:30:00	3177.56	3178.46	3168.12	3174.01	891.8214
10/01/2022	06:00:00	3174.01	3175.51	3155.8	3163.98	1983.4118
10/01/2022	06:30:00	3163.98	3169.87	3157.12	3162.07	928.5238
10/01/2022	07:00:00	3162.07	3175.56	3155.39	3166.06	1234.5396
10/01/2022	07:30:00	3166.01	3169.91	3156.14	3163.37	1555.2605
10/01/2022	08:00:00	3163.38	3169.88	3144.04	3150.94	1922.017
10/01/2022	08:30:00	3150.95	3151.85	3138.82	3145.47	1664.0737
10/01/2022	09:00:00	3145.55	3159.74	3141.29	3156.77	1947.5049
10/01/2022	09:30:00	3156.77	3159.01	3142.4	3146.62	1312.7579
10/01/2022	10:00:00	3146.61	3167.98	3142.0	3155.74	2250.4384
10/01/2022	10:30:00	3155.74	3162.46	3138.5	3139.1	1874.9298
10/01/2022	11:00:00	3139.11	3140.38	3094.85	3106.15	7222.3807
10/01/2022	11:30:00	3106.42	3112.79	3095.28	3104.84	3501.2859
10/01/2022	12:00:00	3104.85	3110.69	3084.1	3090.93	3426.6485
10/01/2022	12:30:00	3090.93	3093.4	3031.63	3032.36	8613.3922
10/01/2022	13:00:00	3032.14	3047.89	3012.23	3020.14	6079.0454
10/01/2022	13:30:00	3020.15	3045.22	3018.21	3021.47	4857.2337
10/01/2022	14:00:00	3021.47	3027.63	2938.03	2948.54	24142.2179
10/01/2022	14:30:00	2948.73	3041.05	2928.63	3018.98	26448.9797
10/01/2022	15:00:00	3018.77	3026.19	2980.59	3007.95	10348.0902
10/01/2022	15:30:00	3007.81	3032.52	2998.0	3006.17	8846.0034
10/01/2022	16:00:00	3006.27	3094.69	2997.0	3080.7	13536.0885
10/01/2022	16:30:00	3080.7	3080.79	3060.0	3076.09	6561.2922
10/01/2022	17:00:00	3076.09	3083.54	2980.01	3007.59	10023.7108
10/01/2022	17:30:00	3008.05	3043.2	2971.39	3012.32	14513.2644
10/01/2022	18:00:00	3012.0	3034.73	3003.65	3017.97	4777.3914
10/01/2022	18:30:00	3017.96	3059.97	3014.72	3043.53	5346.8441
10/01/2022	19:00:00	3043.52	3056.79	3033.2	3043.73	2393.9322
10/01/2022	19:30:00	3043.72	3053.39	3020.41	3030.0	2240.5714
10/01/2022	20:00:00	3030.22	3044.19	3020.0	3033.0	2704.2203
10/01/2022	20:30:00	3032.21	3088.0	3028.11	3082.12	3658.4325
10/01/2022	21:00:00	3082.48	3095.5	3071.92	3082.78	3017.0755
10/01/2022	21:30:00	3082.8	3084.94	3066.01	3074.75	1620.4033
10/01/2022	22:00:00	3074.72	3085.0	3064.33	3073.68	1058.5855
10/01/2022	22:30:00	3073.69	3073.79	3056.91	3063.11	592.6762
10/01/2022	23:00:00	3063.1	3078.9	3055.0	3078.49	1328.4044
10/01/2022	23:30:00	3078.48	3088.18	3072.8	3082.42	1180.1471
11/01/2022	00:00:00	3082.7	3086.88	3061.46	3063.19	1799.4346
